calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood,workout_type_encoded,weather_conditions_encoded,location_encoded,mood_encoded,calories_burned_normalized,distance_km_normalized,active_minutes_normalized,sleep_hours_normalized,heart_rate_avg_normalized
2861.45,9.13,260,10.7,117,Cycling,Rain,Home,Stressed,0,2,1,2,0.544577783,0.4565,0.180681028,0.891666667,0.478991597
2248.82,11.2,1079,5.9,80,Cycling,Fog,Home,Stressed,0,1,1,2,0.299515981,0.56,0.749826268,0.491666667,0.168067227
2122.78,4.73,615,11.4,114,Cycling,Snow,Park,Stressed,0,3,2,2,0.249097964,0.2365,0.427380125,0.95,0.453781513
3913.89,10.51,980,2.6,67,Cycling,Fog,Home,Stressed,0,1,1,2,0.965570623,0.5255,0.681028492,0.216666667,0.058823529
1550.96,19.36,1126,10.7,137,Cycling,Fog,Park,Neutral,0,1,2,1,0.020360814,0.968,0.782487839,0.891666667,0.647058824
3392.53,19.16,741,9.9,120,Cycling,Rain,Home,Stressed,0,2,1,2,0.757018281,0.958,0.514940931,0.825,0.504201681
1905.49,6.93,1422,2.3,76,Cycling,Fog,Park,Tired,0,1,2,3,0.162178487,0.3465,0.98818624,0.191666667,0.134453782
1594.15,19.28,933,0.5,110,Cycling,Rain,Home,Happy,0,2,1,0,0.037637506,0.964,0.648366921,0.041666667,0.420168067
1810,13.62,321,10.7,105,Cycling,Rain,Home,Tired,0,2,1,3,0.123980959,0.681,0.223071577,0.891666667,0.378151261
3255.51,0.54,817,7.2,176,Cycling,Rain,Park,Neutral,0,2,2,1,0.702208088,0.027,0.567755386,0.6,0.974789916
2357.89,15.17,1024,2.8,115,Cycling,Fog,Home,Happy,0,1,1,0,0.343145726,0.7585,0.711605281,0.233333333,0.462184874
3038.7,5.69,756,7.6,81,Cycling,Clear,Home,Neutral,0,0,1,1,0.615480619,0.2845,0.525364837,0.633333333,0.176470588
1765.95,5.26,1077,5.7,146,Cycling,Fog,Park,Happy,0,1,2,0,0.106360254,0.263,0.748436414,0.475,0.722689076
3319.03,10.19,348,3.3,99,Cycling,Clear,Park,Stressed,0,0,2,2,0.727617105,0.5095,0.241834607,0.275,0.327731092
3645.84,2.87,972,0.3,161,Cycling,Fog,Home,Stressed,0,1,1,2,0.858346334,0.1435,0.675469076,0.025,0.848739496
3656.9,1.23,165,8.7,141,Cycling,Clear,Home,Neutral,0,0,1,1,0.862770511,0.0615,0.11466296,0.725,0.680672269
1764.09,7.03,234,8.9,85,Cycling,Fog,Home,Stressed,0,1,1,2,0.105616225,0.3515,0.162612926,0.741666667,0.210084034
3472.47,18.67,1068,5.3,154,Cycling,Snow,Gym,Tired,0,3,0,3,0.78899556,0.9335,0.742182071,0.441666667,0.789915966
2025.68,17.26,505,6.2,66,Cycling,Clear,Home,Neutral,0,0,1,1,0.21025641,0.863,0.350938151,0.516666667,0.050420168
3086.99,14.07,589,5.1,116,Cycling,Rain,Gym,Stressed,0,2,0,2,0.634797392,0.7035,0.409312022,0.425,0.470588235
2336.06,6.81,659,7.6,166,Cycling,Rain,Home,Stressed,0,2,1,2,0.334413377,0.3405,0.457956915,0.633333333,0.890756303
3215.9,17.58,158,2.1,78,Cycling,Clear,Park,Happy,0,0,2,0,0.686363455,0.879,0.109798471,0.175,0.151260504
3919.25,6.83,1000,11.3,118,Cycling,Clear,Gym,Happy,0,0,0,0,0.967714709,0.3415,0.694927033,0.941666667,0.487394958
2820.86,13.63,973,4.2,116,Cycling,Snow,Home,Neutral,0,3,1,1,0.528341134,0.6815,0.676164003,0.35,0.470588235
2676.01,3.05,73,9.6,150,Cycling,Fog,Park,Neutral,0,1,2,1,0.470398816,0.1525,0.050729673,0.8,0.756302521
1730.28,0.54,1070,2.3,128,Cycling,Snow,Home,Happy,0,3,1,0,0.092091684,0.027,0.743571925,0.191666667,0.571428571
3489.7,18.05,1328,5.5,169,Cycling,Snow,Gym,Neutral,0,3,0,1,0.795887836,0.9025,0.922863099,0.458333333,0.915966387
2297.35,7.96,1404,2.8,78,Cycling,Snow,Home,Tired,0,3,1,3,0.318928757,0.398,0.975677554,0.233333333,0.151260504
3096,15.44,873,2.9,100,Cycling,Snow,Home,Tired,0,3,1,3,0.638401536,0.772,0.6066713,0.241666667,0.336134454
3438.64,7.04,503,2,93,Cycling,Clear,Home,Tired,0,0,1,3,0.775463019,0.352,0.349548297,0.166666667,0.277310924
3713.28,17.94,288,4.4,129,Cycling,Clear,Gym,Stressed,0,0,0,2,0.885323413,0.897,0.200138985,0.366666667,0.579831933
2923.21,2.19,770,4.5,153,Cycling,Fog,Gym,Stressed,0,1,0,2,0.569282771,0.1095,0.535093815,0.375,0.781512605
1708.1,12.53,61,8.9,119,Cycling,Rain,Park,Stressed,0,2,2,2,0.083219329,0.6265,0.042390549,0.741666667,0.495798319
3222.43,13.18,850,1.2,122,Cycling,Rain,Gym,Neutral,0,2,0,1,0.688975559,0.659,0.590687978,0.1,0.521008403
3497.35,11.01,770,7.2,169,Cycling,Clear,Gym,Stressed,0,0,0,2,0.798947958,0.5505,0.535093815,0.6,0.915966387
2342.72,1.72,1170,0.8,67,Cycling,Clear,Park,Happy,0,0,2,0,0.337077483,0.086,0.813064628,0.066666667,0.058823529
3230.13,3.69,767,6.2,162,Cycling,Rain,Park,Neutral,0,2,2,1,0.692055682,0.1845,0.533009034,0.516666667,0.857142857
3072.78,3.39,861,10.7,179,Cycling,Rain,Park,Neutral,0,2,2,1,0.629113165,0.1695,0.598332175,0.891666667,1
2248.46,13.71,1010,10.7,121,Cycling,Clear,Park,Happy,0,0,2,0,0.299371975,0.6855,0.701876303,0.891666667,0.512605042
1869.22,15.13,1155,9,78,Cycling,Rain,Gym,Stressed,0,2,0,2,0.147669907,0.7565,0.802640723,0.75,0.151260504
2189.97,0.43,423,0.6,84,Cycling,Clear,Park,Neutral,0,0,2,1,0.275975039,0.0215,0.293954135,0.05,0.201680672
2345.84,11.29,1387,4.4,106,Cycling,Clear,Home,Neutral,0,0,1,1,0.338325533,0.5645,0.963863794,0.366666667,0.386554622
3569.92,17.77,1333,8.3,90,Cycling,Clear,Gym,Tired,0,0,0,3,0.827977119,0.8885,0.926337735,0.691666667,0.25210084
1540.13,5.21,1265,8.8,81,Cycling,Clear,Park,Happy,0,0,2,0,0.016028641,0.2605,0.879082696,0.733333333,0.176470588
1710.33,1.93,246,0.8,79,Cycling,Rain,Home,Neutral,0,2,1,1,0.084111364,0.0965,0.17095205,0.066666667,0.159663866
3703.77,6.82,865,6.1,106,Cycling,Rain,Park,Neutral,0,2,2,1,0.881519261,0.341,0.601111883,0.508333333,0.386554622
3291.46,14.14,1363,0.3,123,Cycling,Fog,Gym,Neutral,0,1,0,1,0.716588664,0.707,0.947185546,0.025,0.529411765
1502.28,18.74,528,11.7,105,Cycling,Rain,Home,Tired,0,2,1,3,0.000888036,0.937,0.366921473,0.975,0.378151261
3592.73,8.89,500,4.5,69,Cycling,Fog,Park,Neutral,0,1,2,1,0.837101484,0.4445,0.347463516,0.375,0.075630252
2985.78,4.08,1040,6.5,165,Cycling,Clear,Park,Happy,0,0,2,0,0.594311772,0.204,0.722724114,0.541666667,0.882352941
3377.58,8.27,1278,3,71,Cycling,Fog,Home,Tired,0,1,1,3,0.751038042,0.4135,0.888116748,0.25,0.092436975
2409.28,7.82,711,7.8,91,Cycling,Clear,Park,Happy,0,0,2,0,0.363702548,0.391,0.49409312,0.65,0.260504202
3703.63,1.68,124,7.2,132,Cycling,Clear,Home,Tired,0,0,1,3,0.881463259,0.084,0.086170952,0.6,0.605042017
3629.05,9.91,349,7.3,138,Cycling,Snow,Gym,Happy,0,3,0,0,0.851630065,0.4955,0.242529534,0.608333333,0.655462185
2736.26,5.11,861,10.3,160,Cycling,Fog,Gym,Tired,0,1,0,3,0.49449978,0.2555,0.598332175,0.858333333,0.840336134
1737.58,19.39,792,11.4,127,Cycling,Fog,Home,Tired,0,1,1,3,0.0950118,0.9695,0.55038221,0.95,0.56302521
3315.4,8.72,859,0.3,110,Cycling,Rain,Park,Tired,0,2,2,3,0.726165047,0.436,0.596942321,0.025,0.420168067
2407.09,6.34,949,4.2,92,Cycling,Fog,Gym,Neutral,0,1,0,1,0.362826513,0.317,0.659485754,0.35,0.268907563
2074.69,4.93,672,4.7,111,Cycling,Snow,Park,Stressed,0,3,2,2,0.229861194,0.2465,0.466990966,0.391666667,0.428571429
2772.82,2.21,369,2.5,116,Cycling,Rain,Gym,Neutral,0,2,0,1,0.509124365,0.1105,0.256428075,0.208333333,0.470588235
3464.9,5.97,927,4.5,77,Cycling,Snow,Home,Neutral,0,3,1,1,0.785967439,0.2985,0.644197359,0.375,0.142857143
2359.39,13.01,400,10.3,90,Cycling,Rain,Park,Tired,0,2,2,3,0.34374575,0.6505,0.277970813,0.858333333,0.25210084
2662.06,12.18,1149,3.9,110,Cycling,Clear,Home,Stressed,0,0,1,2,0.464818593,0.609,0.798471161,0.325,0.420168067
2954.44,4.67,88,4.4,168,Cycling,Clear,Park,Tired,0,0,2,3,0.581775271,0.2335,0.061153579,0.366666667,0.907563025
3989,6.27,826,2.6,100,Cycling,Rain,Park,Neutral,0,2,2,1,0.995615825,0.3135,0.574009729,0.216666667,0.336134454
3214.75,6.93,160,6.8,112,Cycling,Clear,Park,Stressed,0,0,2,2,0.685903436,0.3465,0.111188325,0.566666667,0.43697479
1982.21,13.59,790,2.6,100,Cycling,Clear,Home,Happy,0,0,1,0,0.192867715,0.6795,0.548992356,0.216666667,0.336134454
3880.02,6.23,45,9.5,130,Cycling,Clear,Gym,Tired,0,0,0,3,0.952022081,0.3115,0.031271716,0.791666667,0.588235294
1774.91,10.15,946,2.8,111,Cycling,Clear,Park,Neutral,0,0,2,1,0.109944398,0.5075,0.657400973,0.233333333,0.428571429
2017.85,2.71,360,7.2,174,Cycling,Snow,Gym,Tired,0,3,0,3,0.207124285,0.1355,0.250173732,0.6,0.957983193
2945.16,17.66,69,0.3,81,Cycling,Clear,Gym,Tired,0,0,0,3,0.578063123,0.883,0.047949965,0.025,0.176470588
3162.18,5.65,995,10.5,93,Cycling,Snow,Gym,Happy,0,3,0,0,0.664874595,0.2825,0.691452397,0.875,0.277310924
2039.84,8.57,598,7.3,165,Cycling,Snow,Gym,Neutral,0,3,0,1,0.215920637,0.4285,0.415566366,0.608333333,0.882352941
2345.24,12.45,250,0.2,174,Cycling,Fog,Home,Tired,0,1,1,3,0.338085523,0.6225,0.173731758,0.016666667,0.957983193
2341.9,15.71,9,6.9,124,Cycling,Snow,Home,Happy,0,3,1,0,0.33674947,0.7855,0.006254343,0.575,0.537815126
3221.01,1.82,869,0.5,127,Cycling,Fog,Gym,Neutral,0,1,0,1,0.688407536,0.091,0.603891591,0.041666667,0.56302521
3289.61,17.8,330,4.2,101,Cycling,Snow,Home,Happy,0,3,1,0,0.715848634,0.89,0.229325921,0.35,0.344537815
3930.57,19.98,1420,3.1,119,Cycling,Snow,Park,Stressed,0,3,2,2,0.97224289,0.999,0.986796386,0.258333333,0.495798319
3688.03,7.51,317,8,131,Cycling,Rain,Home,Stressed,0,2,1,2,0.875223009,0.3755,0.220291869,0.666666667,0.596638655
2795.64,5.34,438,5.7,128,Cycling,Rain,Gym,Stressed,0,2,0,2,0.51825273,0.267,0.30437804,0.475,0.571428571
3229.27,12.72,111,3.1,98,Cycling,Clear,Gym,Stressed,0,0,0,2,0.691711668,0.636,0.077136901,0.258333333,0.319327731
3572.31,18.04,1185,11.5,90,Cycling,Rain,Park,Happy,0,2,2,0,0.828933157,0.902,0.823488534,0.958333333,0.25210084
2596.18,18.55,759,3.7,79,Cycling,Clear,Gym,Tired,0,0,0,3,0.438465539,0.9275,0.527449618,0.308333333,0.159663866
2339.98,15.68,1343,4.9,114,Cycling,Rain,Home,Stressed,0,2,1,2,0.335981439,0.784,0.933287005,0.408333333,0.453781513
2091.37,13.65,690,7.9,109,Cycling,Fog,Gym,Neutral,0,1,0,1,0.236533461,0.6825,0.479499653,0.658333333,0.411764706
3853.43,16.91,497,6.7,82,Cycling,Clear,Home,Stressed,0,0,1,2,0.941385655,0.8455,0.345378735,0.558333333,0.18487395
3172.17,7.2,1315,9.3,143,Cycling,Snow,Gym,Neutral,0,3,0,1,0.668870755,0.36,0.913829048,0.775,0.697478992
2244.6,18.61,651,6.1,132,Cycling,Snow,Park,Stressed,0,3,2,2,0.297827913,0.9305,0.452397498,0.508333333,0.605042017
1810.89,8.3,349,9.8,129,Cycling,Rain,Park,Tired,0,2,2,3,0.124336973,0.415,0.242529534,0.816666667,0.579831933
3726.92,11.7,619,3.7,142,Cycling,Clear,Home,Stressed,0,0,1,2,0.890779631,0.585,0.430159833,0.308333333,0.68907563
1624.25,4.55,782,2.1,78,Cycling,Snow,Park,Neutral,0,3,2,1,0.049677987,0.2275,0.54343294,0.175,0.151260504
3384.63,15.18,368,2,110,Cycling,Snow,Gym,Happy,0,3,0,0,0.753858154,0.759,0.255733148,0.166666667,0.420168067
1881.51,16.42,728,4,127,Cycling,Fog,Gym,Tired,0,1,0,3,0.152586103,0.821,0.50590688,0.333333333,0.56302521
3862.33,6.35,1336,6.2,147,Cycling,Clear,Park,Stressed,0,0,2,2,0.944945798,0.3175,0.928422516,0.516666667,0.731092437
3122.27,3.23,1214,7.1,143,Cycling,Clear,Home,Stressed,0,0,1,2,0.648909956,0.1615,0.843641418,0.591666667,0.697478992
3121.01,5.45,825,11.5,60,Cycling,Fog,Gym,Stressed,0,1,0,2,0.648405936,0.2725,0.573314802,0.958333333,0
1554.94,8.12,903,4.4,135,Cycling,Fog,Park,Happy,0,1,2,0,0.021952878,0.406,0.62751911,0.366666667,0.630252101
3288.13,5.38,961,10,142,Cycling,Fog,Park,Neutral,0,1,2,1,0.71525661,0.269,0.667824878,0.833333333,0.68907563
3207.18,7.24,780,8.1,75,Cycling,Snow,Park,Tired,0,3,2,3,0.682875315,0.362,0.542043085,0.675,0.12605042
3722.04,13.94,403,2.7,105,Cycling,Fog,Park,Stressed,0,1,2,2,0.888827553,0.697,0.280055594,0.225,0.378151261
2268.65,9.33,630,1,107,Cycling,Clear,Home,Neutral,0,0,1,1,0.307448298,0.4665,0.437804031,0.083333333,0.394957983
2726.3,0.39,1356,12,69,Cycling,Fog,Home,Stressed,0,1,1,2,0.490515621,0.0195,0.942321056,1,0.075630252
1954.61,9.77,313,11.1,121,Cycling,Fog,Gym,Stressed,0,1,0,2,0.181827273,0.4885,0.217512161,0.925,0.512605042
2005.97,19.77,1068,5.8,165,Cycling,Rain,Home,Neutral,0,2,1,1,0.202372095,0.9885,0.742182071,0.483333333,0.882352941
2587.49,8.12,743,5.8,108,Cycling,Rain,Gym,Stressed,0,2,0,2,0.4349894,0.406,0.516330785,0.483333333,0.403361345
2631.29,18.68,534,11.5,174,Cycling,Snow,Gym,Stressed,0,3,0,2,0.4525101,0.934,0.371091035,0.958333333,0.957983193
2642.46,18.34,1123,4,141,Cycling,Clear,Park,Neutral,0,0,2,1,0.456978279,0.917,0.780403058,0.333333333,0.680672269
3789.21,1.17,498,3,97,Cycling,Snow,Park,Neutral,0,3,2,1,0.915696628,0.0585,0.346073662,0.25,0.31092437
3476.83,3.97,959,2.6,98,Cycling,Snow,Gym,Tired,0,3,0,3,0.79073963,0.1985,0.666435024,0.216666667,0.319327731
3796.9,4.78,973,7.8,114,Cycling,Clear,Home,Stressed,0,0,1,2,0.918772751,0.239,0.676164003,0.65,0.453781513
2165.45,3.91,1011,0.8,142,Cycling,Clear,Home,Stressed,0,0,1,2,0.266166647,0.1955,0.70257123,0.066666667,0.68907563
2775.9,11.93,438,4.2,103,Cycling,Rain,Park,Happy,0,2,2,0,0.510356414,0.5965,0.30437804,0.35,0.361344538
3556.97,5.73,314,6.3,149,Cycling,Fog,Park,Happy,0,1,2,0,0.822796912,0.2865,0.218207088,0.525,0.74789916
2502.41,5.43,58,11.1,177,Cycling,Clear,Gym,Stressed,0,0,0,2,0.400956038,0.2715,0.040305768,0.925,0.983193277
1737.28,11.53,330,10.6,128,Cycling,Fog,Gym,Neutral,0,1,0,1,0.094891796,0.5765,0.229325921,0.883333333,0.571428571
2064.09,3.77,131,0.2,133,Cycling,Rain,Home,Stressed,0,2,1,2,0.225621025,0.1885,0.091035441,0.016666667,0.613445378
3622.81,13.58,646,7.8,131,Cycling,Clear,Gym,Tired,0,0,0,3,0.849133965,0.679,0.448922863,0.65,0.596638655
1596.54,16.06,76,3.7,167,Cycling,Rain,Gym,Stressed,0,2,0,2,0.038593544,0.803,0.052814454,0.308333333,0.899159664
2300.65,6.37,555,10.6,102,Cycling,Snow,Park,Stressed,0,3,2,2,0.32024881,0.3185,0.385684503,0.883333333,0.352941176
3701,15.85,341,10.8,85,Cycling,Clear,Park,Happy,0,0,2,0,0.880411216,0.7925,0.236970118,0.9,0.210084034
3324.04,8.53,683,11.2,154,Cycling,Rain,Home,Tired,0,2,1,3,0.729621185,0.4265,0.474635163,0.933333333,0.789915966
2753.56,3.45,381,10.9,107,Cycling,Rain,Park,Tired,0,2,2,3,0.501420057,0.1725,0.264767199,0.908333333,0.394957983
3477.6,17.01,1426,9.1,161,Cycling,Fog,Gym,Happy,0,1,0,0,0.791047642,0.8505,0.990965949,0.758333333,0.848739496
2592.69,4.91,710,0.9,92,Cycling,Rain,Home,Happy,0,2,1,0,0.437069483,0.2455,0.493398193,0.075,0.268907563
3285.41,17.54,37,8.8,106,Cycling,Clear,Gym,Happy,0,0,0,0,0.714168567,0.877,0.0257123,0.733333333,0.386554622
3415.21,4.26,666,11.4,173,Cycling,Clear,Park,Neutral,0,0,2,1,0.766090644,0.213,0.462821404,0.95,0.949579832
3516.52,7.6,955,2,68,Cycling,Rain,Park,Happy,0,2,2,0,0.806616265,0.38,0.663655316,0.166666667,0.067226891
3516.22,6.54,73,3.9,104,Cycling,Clear,Home,Stressed,0,0,1,2,0.80649626,0.327,0.050729673,0.325,0.369747899
2137.79,1.2,424,10.4,137,Cycling,Snow,Park,Neutral,0,3,2,1,0.255102204,0.06,0.294649062,0.866666667,0.647058824
1746.58,9.69,401,0,108,Cycling,Rain,Gym,Stressed,0,2,0,2,0.098611944,0.4845,0.27866574,0,0.403361345
3361.6,3.58,1038,7.3,168,Cycling,Snow,Park,Neutral,0,3,2,1,0.744645786,0.179,0.72133426,0.608333333,0.907563025
3204.54,16.02,593,8.1,136,Cycling,Fog,Gym,Neutral,0,1,0,1,0.681819273,0.801,0.41209173,0.675,0.638655462
2830.66,16.24,1146,10.8,78,Cycling,Rain,Gym,Happy,0,2,0,0,0.53226129,0.812,0.796386379,0.9,0.151260504
3915.05,19.47,1217,9.4,102,Cycling,Snow,Gym,Stressed,0,3,0,2,0.966034641,0.9735,0.845726199,0.783333333,0.352941176
2542.38,1.33,674,3.5,156,Cycling,Clear,Home,Stressed,0,0,1,2,0.416944678,0.0665,0.46838082,0.291666667,0.806722689
2282.7,7.36,1382,7.5,107,Cycling,Fog,Home,Neutral,0,1,1,1,0.313068523,0.368,0.960389159,0.625,0.394957983
1597.34,4.04,613,9.6,151,Cycling,Snow,Home,Tired,0,3,1,3,0.038913557,0.202,0.425990271,0.8,0.764705882
1912.31,13.34,50,11.8,74,Cycling,Snow,Home,Stressed,0,3,1,2,0.164906596,0.667,0.034746352,0.983333333,0.117647059
1994.76,18.05,304,11,167,Cycling,Clear,Gym,Neutral,0,0,0,1,0.197887916,0.9025,0.211257818,0.916666667,0.899159664
3052.83,10.81,1039,4.2,158,Cycling,Rain,Home,Stressed,0,2,1,2,0.621132845,0.5405,0.722029187,0.35,0.823529412
1838.98,11.64,791,1.2,90,Cycling,Rain,Home,Tired,0,2,1,3,0.135573423,0.582,0.549687283,0.1,0.25210084
3339.92,4.01,427,7.3,74,Cycling,Clear,Home,Happy,0,0,1,0,0.735973439,0.2005,0.296733843,0.608333333,0.117647059
1740.46,8.48,979,10.4,104,Cycling,Rain,Gym,Stressed,0,2,0,2,0.096163847,0.424,0.680333565,0.866666667,0.369747899
3421.91,12.23,1252,11.4,114,Cycling,Snow,Home,Neutral,0,3,1,1,0.768770751,0.6115,0.870048645,0.95,0.453781513
3812.08,5.69,65,4.6,103,Cycling,Snow,Home,Stressed,0,3,1,2,0.924844994,0.2845,0.045170257,0.383333333,0.361344538
1551.08,17.04,1343,4.6,165,Cycling,Clear,Home,Tired,0,0,1,3,0.020408816,0.852,0.933287005,0.383333333,0.882352941
3616.52,19.67,1239,3.5,168,Cycling,Snow,Park,Neutral,0,3,2,1,0.846617865,0.9835,0.861014593,0.291666667,0.907563025
2685.51,16.82,598,5.9,146,Cycling,Clear,Park,Happy,0,0,2,0,0.474198968,0.841,0.415566366,0.491666667,0.722689076
2701.75,6.32,1034,11.3,170,Cycling,Snow,Park,Happy,0,3,2,0,0.480695228,0.316,0.718554552,0.941666667,0.924369748
3477.06,5.79,124,5.5,129,Cycling,Snow,Park,Neutral,0,3,2,1,0.790831633,0.2895,0.086170952,0.458333333,0.579831933
2531.69,3.81,391,2.2,175,Cycling,Snow,Park,Happy,0,3,2,0,0.412668507,0.1905,0.27171647,0.183333333,0.966386555
1702.02,19.45,996,5.3,136,Cycling,Clear,Park,Stressed,0,0,2,2,0.080787231,0.9725,0.692147325,0.441666667,0.638655462
3958.94,6.6,1339,4.6,79,Cycling,Clear,Home,Neutral,0,0,1,1,0.983591344,0.33,0.930507297,0.383333333,0.159663866
1521.1,13.51,840,6.1,71,Cycling,Snow,Home,Stressed,0,3,1,2,0.008416337,0.6755,0.583738707,0.508333333,0.092436975
2867.34,11.47,678,2.7,163,Cycling,Rain,Park,Happy,0,2,2,0,0.546933877,0.5735,0.471160528,0.225,0.865546218
3888.99,15.1,1181,0.5,165,Cycling,Snow,Home,Happy,0,3,1,0,0.955610224,0.755,0.820708826,0.041666667,0.882352941
3733.12,8.84,1025,3.9,135,Cycling,Fog,Home,Stressed,0,1,1,2,0.89325973,0.442,0.712300208,0.325,0.630252101
3291.86,3.47,109,2.9,153,Cycling,Snow,Park,Happy,0,3,2,0,0.71674867,0.1735,0.075747047,0.241666667,0.781512605
2293.92,3.23,607,11.7,74,Cycling,Rain,Gym,Tired,0,2,0,3,0.317556702,0.1615,0.421820709,0.975,0.117647059
2127.22,4.71,202,9.9,170,Cycling,Snow,Gym,Happy,0,3,0,0,0.250874035,0.2355,0.140375261,0.825,0.924369748
3536.74,6.11,1011,6.4,88,Cycling,Rain,Park,Stressed,0,2,2,2,0.814704588,0.3055,0.70257123,0.533333333,0.235294118
1766.89,0.17,292,5.9,178,Cycling,Fog,Gym,Tired,0,1,0,3,0.106736269,0.0085,0.202918694,0.491666667,0.991596639
3547.22,12.37,672,2.6,120,Cycling,Rain,Gym,Stressed,0,2,0,2,0.818896756,0.6185,0.466990966,0.216666667,0.504201681
1571.76,9.1,460,5.9,67,Cycling,Fog,Park,Happy,0,1,2,0,0.028681147,0.455,0.319666435,0.491666667,0.058823529
2273.49,8.42,603,7.7,121,Cycling,Fog,Gym,Tired,0,1,0,3,0.309384375,0.421,0.419041001,0.641666667,0.512605042
2630.92,10.56,519,6.5,106,Cycling,Fog,Gym,Stressed,0,1,0,2,0.452362094,0.528,0.36066713,0.541666667,0.386554622
1511.39,10.49,790,11,157,Cycling,Rain,Park,Stressed,0,2,2,2,0.004532181,0.5245,0.548992356,0.916666667,0.81512605
3267.69,8.25,226,8.2,117,Cycling,Fog,Gym,Stressed,0,1,0,2,0.707080283,0.4125,0.157053509,0.683333333,0.478991597
2302.49,8.17,339,0.8,95,Cycling,Snow,Home,Tired,0,3,1,3,0.320984839,0.4085,0.235580264,0.066666667,0.294117647
1732.44,10.89,1095,7.5,80,Cycling,Rain,Gym,Happy,0,2,0,0,0.092955718,0.5445,0.760945101,0.625,0.168067227
